ID,Ulasan,Label
79,"udah dapet diskon gede, performa mantep jg",positif
80,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
81,murmer tp ga murahan 😁,positif
82,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
83,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
84,interiornya kyk mainan anak2 😬,negatif
85,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
86,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
87,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
88,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
89,"udah dapet diskon gede, performa mantep jg",positif
90,puas bgt dah ama mobilnya 🚗💨,positif
91,"Pelayanan CS-nya B aja, slow respon 😑",negatif
92,"td nya ragu, tp pas coba mantap jiwa",positif
93,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
94,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
95,puas bgt dah ama mobilnya 🚗💨,positif
96,"udah dapet diskon gede, performa mantep jg",positif
97,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
98,"Pelayanan CS-nya B aja, slow respon 😑",negatif
99,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
100,murmer tp ga murahan 😁,positif
101,"katanya irit, tp nyatanya boros cuy 😤",negatif
102,"gila sih ini, mesin berisik parah 😤",negatif
103,GA REKOMEN!! bnyk fitur fake news 😒,negatif
104,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
105,"gak nyesel beli ini sih, bener2 irit!!",positif
106,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
107,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
108,puas bgt dah ama mobilnya 🚗💨,positif
109,interiornya kyk mainan anak2 😬,negatif
110,"td nya ragu, tp pas coba mantap jiwa",positif
111,mobilnya MANTUL bgttt 😍👍,positif
112,"gila sih ini, mesin berisik parah 😤",negatif
113,"gila sih ini, mesin berisik parah 😤",negatif
114,interiornya kyk mainan anak2 😬,negatif
115,mobilnya MANTUL bgttt 😍👍,positif
116,interiornya kyk mainan anak2 😬,negatif
117,puas bgt dah ama mobilnya 🚗💨,positif
118,"td nya ragu, tp pas coba mantap jiwa",positif
119,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
120,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
121,"gila sih ini, mesin berisik parah 😤",negatif
122,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
123,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
124,"katanya irit, tp nyatanya boros cuy 😤",negatif
125,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
126,murmer tp ga murahan 😁,positif
127,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
128,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
129,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
130,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
131,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
132,puas bgt dah ama mobilnya 🚗💨,positif
133,GA REKOMEN!! bnyk fitur fake news 😒,negatif
134,puas bgt dah ama mobilnya 🚗💨,positif
135,"Pelayanan CS-nya B aja, slow respon 😑",negatif
136,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
137,puas bgt dah ama mobilnya 🚗💨,positif
138,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
139,"gak nyesel beli ini sih, bener2 irit!!",positif
140,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
141,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
142,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
143,murmer tp ga murahan 😁,positif
144,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
145,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
146,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
147,"udah dapet diskon gede, performa mantep jg",positif
148,GA REKOMEN!! bnyk fitur fake news 😒,negatif
149,"Pelayanan CS-nya B aja, slow respon 😑",negatif
150,"udah dapet diskon gede, performa mantep jg",positif
151,"katanya irit, tp nyatanya boros cuy 😤",negatif
152,"katanya irit, tp nyatanya boros cuy 😤",negatif
153,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
154,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
155,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
156,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
157,puas bgt dah ama mobilnya 🚗💨,positif
158,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
159,interiornya kyk mainan anak2 😬,negatif
160,mobilnya MANTUL bgttt 😍👍,positif
161,mobilnya MANTUL bgttt 😍👍,positif
162,"gila sih ini, mesin berisik parah 😤",negatif
163,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
164,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
165,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
166,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
167,"Pelayanan CS-nya B aja, slow respon 😑",negatif
168,"gila sih ini, mesin berisik parah 😤",negatif
169,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
170,"td nya ragu, tp pas coba mantap jiwa",positif
171,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
172,"gak nyesel beli ini sih, bener2 irit!!",positif
173,"gak nyesel beli ini sih, bener2 irit!!",positif
174,"td nya ragu, tp pas coba mantap jiwa",positif
175,"katanya irit, tp nyatanya boros cuy 😤",negatif
176,GA REKOMEN!! bnyk fitur fake news 😒,negatif
177,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
178,interiornya kyk mainan anak2 😬,negatif
179,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
180,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
181,interiornya kyk mainan anak2 😬,negatif
182,"gak nyesel beli ini sih, bener2 irit!!",positif
183,"katanya irit, tp nyatanya boros cuy 😤",negatif
184,"udah dapet diskon gede, performa mantep jg",positif
185,"td nya ragu, tp pas coba mantap jiwa",positif
186,mobilnya MANTUL bgttt 😍👍,positif
187,interiornya kyk mainan anak2 😬,negatif
188,"Pelayanan CS-nya B aja, slow respon 😑",negatif
189,"Pelayanan CS-nya B aja, slow respon 😑",negatif
190,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
191,mobilnya MANTUL bgttt 😍👍,positif
192,GA REKOMEN!! bnyk fitur fake news 😒,negatif
193,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
194,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
195,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
196,"katanya irit, tp nyatanya boros cuy 😤",negatif
197,murmer tp ga murahan 😁,positif
198,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
199,"td nya ragu, tp pas coba mantap jiwa",positif
200,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
201,mobilnya MANTUL bgttt 😍👍,positif
202,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
203,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
204,mobilnya MANTUL bgttt 😍👍,positif
205,murmer tp ga murahan 😁,positif
206,murmer tp ga murahan 😁,positif
207,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
208,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
209,puas bgt dah ama mobilnya 🚗💨,positif
210,"gak nyesel beli ini sih, bener2 irit!!",positif
211,interiornya kyk mainan anak2 😬,negatif
212,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
213,"katanya irit, tp nyatanya boros cuy 😤",negatif
214,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
215,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
216,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
217,murmer tp ga murahan 😁,positif
218,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
219,mobilnya MANTUL bgttt 😍👍,positif
220,"Pelayanan CS-nya B aja, slow respon 😑",negatif
221,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
222,"td nya ragu, tp pas coba mantap jiwa",positif
223,"udah dapet diskon gede, performa mantep jg",positif
224,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
225,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
226,"td nya ragu, tp pas coba mantap jiwa",positif
227,"td nya ragu, tp pas coba mantap jiwa",positif
228,murmer tp ga murahan 😁,positif
229,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
230,puas bgt dah ama mobilnya 🚗💨,positif
231,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
232,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
233,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
234,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
235,"katanya irit, tp nyatanya boros cuy 😤",negatif
236,"gila sih ini, mesin berisik parah 😤",negatif
237,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
238,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
239,"udah dapet diskon gede, performa mantep jg",positif
240,puas bgt dah ama mobilnya 🚗💨,positif
241,"Pelayanan CS-nya B aja, slow respon 😑",negatif
242,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
243,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
244,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
245,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
246,GA REKOMEN!! bnyk fitur fake news 😒,negatif
247,"gak nyesel beli ini sih, bener2 irit!!",positif
248,murmer tp ga murahan 😁,positif
249,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
250,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
251,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
252,"td nya ragu, tp pas coba mantap jiwa",positif
253,puas bgt dah ama mobilnya 🚗💨,positif
254,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
255,murmer tp ga murahan 😁,positif
256,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
257,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
258,"gila sih ini, mesin berisik parah 😤",negatif
259,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
260,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
261,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
262,"udah dapet diskon gede, performa mantep jg",positif
263,interiornya kyk mainan anak2 😬,negatif
264,"katanya irit, tp nyatanya boros cuy 😤",negatif
265,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
266,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
267,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
268,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
269,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
270,mobilnya MANTUL bgttt 😍👍,positif
271,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
272,"td nya ragu, tp pas coba mantap jiwa",positif
273,"gila sih ini, mesin berisik parah 😤",negatif
274,mobilnya MANTUL bgttt 😍👍,positif
275,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
276,"td nya ragu, tp pas coba mantap jiwa",positif
277,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
278,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
279,"gak nyesel beli ini sih, bener2 irit!!",positif
280,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
281,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
282,"gak nyesel beli ini sih, bener2 irit!!",positif
283,"katanya irit, tp nyatanya boros cuy 😤",negatif
284,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
285,GA REKOMEN!! bnyk fitur fake news 😒,negatif
286,murmer tp ga murahan 😁,positif
287,interiornya kyk mainan anak2 😬,negatif
288,"udah dapet diskon gede, performa mantep jg",positif
289,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
290,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
291,puas bgt dah ama mobilnya 🚗💨,positif
292,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
293,mobilnya MANTUL bgttt 😍👍,positif
294,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
295,"gila sih ini, mesin berisik parah 😤",negatif
296,"katanya irit, tp nyatanya boros cuy 😤",negatif
297,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
298,"td nya ragu, tp pas coba mantap jiwa",positif
299,interiornya kyk mainan anak2 😬,negatif
300,"udah dapet diskon gede, performa mantep jg",positif
301,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
302,"Pelayanan CS-nya B aja, slow respon 😑",negatif
303,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
304,interiornya kyk mainan anak2 😬,negatif
305,"td nya ragu, tp pas coba mantap jiwa",positif
306,puas bgt dah ama mobilnya 🚗💨,positif
307,interiornya kyk mainan anak2 😬,negatif
308,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
309,"gila sih ini, mesin berisik parah 😤",negatif
310,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
311,murmer tp ga murahan 😁,positif
312,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
313,"td nya ragu, tp pas coba mantap jiwa",positif
314,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
315,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
316,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
317,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
318,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
319,mobilnya MANTUL bgttt 😍👍,positif
320,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
321,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
322,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
323,puas bgt dah ama mobilnya 🚗💨,positif
324,murmer tp ga murahan 😁,positif
325,interiornya kyk mainan anak2 😬,negatif
326,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
327,"katanya irit, tp nyatanya boros cuy 😤",negatif
328,GA REKOMEN!! bnyk fitur fake news 😒,negatif
329,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
330,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
331,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
332,GA REKOMEN!! bnyk fitur fake news 😒,negatif
333,murmer tp ga murahan 😁,positif
334,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
335,"udah dapet diskon gede, performa mantep jg",positif
336,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
337,"udah dapet diskon gede, performa mantep jg",positif
338,murmer tp ga murahan 😁,positif
339,puas bgt dah ama mobilnya 🚗💨,positif
340,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
341,"katanya irit, tp nyatanya boros cuy 😤",negatif
342,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
343,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
344,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
345,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
346,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
347,murmer tp ga murahan 😁,positif
348,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
349,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
350,mobilnya MANTUL bgttt 😍👍,positif
351,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
352,"Pelayanan CS-nya B aja, slow respon 😑",negatif
353,puas bgt dah ama mobilnya 🚗💨,positif
354,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
355,murmer tp ga murahan 😁,positif
356,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
357,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
358,"udah dapet diskon gede, performa mantep jg",positif
359,"udah dapet diskon gede, performa mantep jg",positif
360,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
361,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
362,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
363,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
364,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
365,"gak nyesel beli ini sih, bener2 irit!!",positif
366,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
367,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
368,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
369,interiornya kyk mainan anak2 😬,negatif
370,"gak nyesel beli ini sih, bener2 irit!!",positif
371,"td nya ragu, tp pas coba mantap jiwa",positif
372,"gak nyesel beli ini sih, bener2 irit!!",positif
373,puas bgt dah ama mobilnya 🚗💨,positif
374,"gak nyesel beli ini sih, bener2 irit!!",positif
375,"Pelayanan CS-nya B aja, slow respon 😑",negatif
376,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
377,"katanya irit, tp nyatanya boros cuy 😤",negatif
378,"Pelayanan CS-nya B aja, slow respon 😑",negatif
379,"gila sih ini, mesin berisik parah 😤",negatif
380,murmer tp ga murahan 😁,positif
381,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
382,"udah dapet diskon gede, performa mantep jg",positif
383,"gak nyesel beli ini sih, bener2 irit!!",positif
384,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
385,"katanya irit, tp nyatanya boros cuy 😤",negatif
386,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
387,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
388,GA REKOMEN!! bnyk fitur fake news 😒,negatif
389,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
390,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
391,puas bgt dah ama mobilnya 🚗💨,positif
392,mobilnya MANTUL bgttt 😍👍,positif
393,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
394,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
395,"td nya ragu, tp pas coba mantap jiwa",positif
396,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
397,"udah dapet diskon gede, performa mantep jg",positif
398,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
399,"udah dapet diskon gede, performa mantep jg",positif
400,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
401,"gila sih ini, mesin berisik parah 😤",negatif
402,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
403,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
404,"gak nyesel beli ini sih, bener2 irit!!",positif
405,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
406,interiornya kyk mainan anak2 😬,negatif
407,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
408,"gila sih ini, mesin berisik parah 😤",negatif
409,"td nya ragu, tp pas coba mantap jiwa",positif
410,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
411,puas bgt dah ama mobilnya 🚗💨,positif
412,"katanya irit, tp nyatanya boros cuy 😤",negatif
413,puas bgt dah ama mobilnya 🚗💨,positif
414,"Pelayanan CS-nya B aja, slow respon 😑",negatif
415,"gila sih ini, mesin berisik parah 😤",negatif
416,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
417,"Pelayanan CS-nya B aja, slow respon 😑",negatif
418,"td nya ragu, tp pas coba mantap jiwa",positif
419,interiornya kyk mainan anak2 😬,negatif
420,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
421,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
422,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
423,"Pelayanan CS-nya B aja, slow respon 😑",negatif
424,murmer tp ga murahan 😁,positif
425,interiornya kyk mainan anak2 😬,negatif
426,GA REKOMEN!! bnyk fitur fake news 😒,negatif
427,"gila sih ini, mesin berisik parah 😤",negatif
428,"Pelayanan CS-nya B aja, slow respon 😑",negatif
429,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
430,puas bgt dah ama mobilnya 🚗💨,positif
431,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
432,"td nya ragu, tp pas coba mantap jiwa",positif
433,"gila sih ini, mesin berisik parah 😤",negatif
434,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
435,"gila sih ini, mesin berisik parah 😤",negatif
436,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
437,"katanya irit, tp nyatanya boros cuy 😤",negatif
438,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
439,"gak nyesel beli ini sih, bener2 irit!!",positif
440,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
441,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
442,GA REKOMEN!! bnyk fitur fake news 😒,negatif
443,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
444,GA REKOMEN!! bnyk fitur fake news 😒,negatif
445,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
446,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
447,puas bgt dah ama mobilnya 🚗💨,positif
448,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
449,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
450,oke sih tp AC nya kadang2 suka lemot dikit 😅,positif
451,puas bgt dah ama mobilnya 🚗💨,positif
452,"tdk sesuai ekspektasi gw, menyesal 😞",negatif
453,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
454,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
455,"Pelayanan CS-nya B aja, slow respon 😑",negatif
456,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
457,GA REKOMEN!! bnyk fitur fake news 😒,negatif
458,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
459,"Pelayanan CS-nya B aja, slow respon 😑",negatif
460,"gak nyesel beli ini sih, bener2 irit!!",positif
461,"udah dapet diskon gede, performa mantep jg",positif
462,"Baru beli tp udh mogok, ZONK bgt!!! 😡",negatif
463,interiornya kyk mainan anak2 😬,negatif
464,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
465,GA REKOMEN!! bnyk fitur fake news 😒,negatif
466,"katanya irit, tp nyatanya boros cuy 😤",negatif
467,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
468,"bengkel jauh, ribet & ga ada sparepart 😩",negatif
469,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
470,"Uda klaim garansi, tp dipingpong mulu 😠",negatif
471,"Pelayanan CS-nya B aja, slow respon 😑",negatif
472,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
473,"udah dapet diskon gede, performa mantep jg",positif
474,"gila sih ini, mesin berisik parah 😤",negatif
475,"beli karna diskon, tp nyesel abis2an 🤦‍♂️",negatif
476,"Pelayanan CS-nya B aja, slow respon 😑",negatif
477,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
478,"Desainnya cakep bgt, jd pengen nambah 1 lg 😆",positif
479,"Handlingnya ga terlalu wow, tp msh enak 😎",positif
480,"udh dipake bbrp bulan, masi oke aja nih 👌",positif
481,"udah dapet diskon gede, performa mantep jg",positif
