ID,Name,Industry,Description,Year Founded,Employees,State,City,Metro Area,Total Revenue,Total Expense,Total Profit
30,Ganzhouse,Human Resources,"An executive search, consulting, and staffing firm with five practice groups: financial services, accounting and finance, IT, administrative services, and health care staffing.",2012,44,GA,Atlanta,Atlanta,18775309.17,11694002.53,7081306.64
31,Cityace,Health,A biopharmaceutical company focused on developing products for the treatment of cancer and infectious diseases based on its proprietary Tarmogen platform. It has four Tarmogen product candidates in clinical evaluation for infectious disease and multiple cancer indications.,2010,25,CO,Louisville,"Boulder, CO",10847121.06,4936181.75,5910939.31
32,Tres-How,Advertising & Marketing,"A full-service promotional marketing agency that designs and implements live event campaigns featuring its roster of models, dancers, costume characters, emcees, artists, and drivers.",2013,12,FL,Fort Myers,"Cape Coral-Fort Myers, FL",8934993.87,3746575.28,5188418.59
33,Domphase,Business Products & Services,"A meetings and events organizer that sources venues, plans events, and manages registration for companies in the financial, professional services and technology sectors.",2007,16,NY,New York,New York City,8920495.22,4724498.52,4195996.7
34,Kayelectronics,Health,Owns and operates urgent care facilities throughout North Carolina and Arizona. It offers walk-in medical services and delivery of medication to patients.,2009,687,NC,Clayton,"Raleigh-Cary, NC",12095157.74,2577284.42,9517873.32
35,Ganzlax,IT Services,"A technology consulting firm that delivers cusomized services to commercial and government clients including Freddie Mac, Home Depot, and Honda.",2011,75,NJ,Iselin,New York City,10911029.05,6846657.59,4064371.46
36,Trantraxlax,Government Services,"Offers systems integration, project management and strategy consulting to federal clients such as the Naval Research Laboratory and NASA's Independent Program Assessment Office.",2011,35,VA,Suffolk,"Virginia Beach-Norfolk-Newport News, VA-NC",13470513.14,5470375.76,8000137.38
37,Silicon-Hex,Food & Beverage,"Makes organic ice cream, selling dozens of flavors at its four scoop shop locations, as well as selling packaged varieties and selling to cafes and restaurants across the country.",2012,58,CA,Petaluma,San Francisco,10513825.19,5763813.19,4750012
38,E-Zim,Retail,"Operates a family of online stores that supply products that create and maintain a healthy, safe, efficient and comfortable home environment. Offerings include heating and cooling, plumbing, air conditioning, and refrigeration products.",2008,21,OH,Monroe,Cincinnati,11817770.57,10070302.56,1747468.01
39,Daltfase,Software,"Develops technology used by the music industry, including artists, managers, labels, venues and festivals, for promotion, content management and cross-media licensing opportunities.",2011,78,NC,Durham,"Durham, NC",14485183.64,8388487.31,6096696.32
40,Alphalex,Advertising & Marketing,A full-service incentive Internet marketing agency.,2012,4,FL,Sarasota,"Panama City-Lynn Haven, FL",12592014.02,3088578.14,9503435.87
41,Ozerholdings,Energy,"Specializes in asset integrity for the oil & gas, chemical and mining industries. PinnacleAIS offers software targeting inspection data management, risk-based inspection and vessel & stress analysis.",2012,278,TX,Pasadena,Houston,8907253.97,6388691.82,2518562.15
42,Subflex,Consumer Products & Services,"A consumer trade-in site that exchanges used cell phones and other electronic gadgets for cash, then resells or recycles them. To date it has accepted more than 1.5 million trade-ins.",2010,136,MA,Boston,Boston,13865717.17,5513584.69,8352132.47
43,Hotlane,Government Services,"Provides software development, engineering, programmatic support, data integration, systems development, enterprise architecture, material procurement. and meteorological services to customers in the Department of Defense and in private industry.",2012,87,AL,Huntsville,"Huntsville, AL",10402026.44,6157926.74,4244099.7
44,Salttrans,Consumer Products & Services,"A curated guide to shopping deals with more than 10 million e-mail subscribers and partnerships with more than 3,000 retailers.",2012,48,IL,Chicago,Chicago,8368606.76,3854045.18,4514561.57
45,Lathotline,Health,"Specializes in clinical and consulting services for health-focused federal agencies as well as the health care industry. Specific areas of expertise include clinical services, military and veterans health, federal health care initiatives, pharmacy consulting, technology, and global public health.",2012,103,VA,McLean,"Washington, DC",11255557.44,8635494.31,2620063.12
46,E-Care,Advertising & Marketing,"Specializes in creating custom marketing programs aimed at niche readers of digital arts, culture and style publications, combining content, innovative displays, pop-up shops, applications and events.",2011,23,NY,New York,New York City,9843601.89,7427864.33,2415737.56
47,Opedrill,Telecommunications,"Offers high-bandwidth, low-latency networking services for financial, content, carrier, and enterprise customers. Its direct linear connections provide microsecond carriage throughout most of the major exchanges within the New York and New Jersey area. Its X-change Connect platform is also available at major international financial hubs including Toronto, London, Singapore, and Hong Kong.",2009,13,NJ,Paramus,New York City,9950696.8,2671001.47,7279695.33
48,Lambam,IT Services,"Develops comprehensive software for virtual, physical and cloud-based backup and disaster recovery, allowing IT professionals to protect and quickly restore data, applications and operating systems.",2012,210,SC,Columbia,"Columbia, SC",8360641.23,5213555.59,3147085.65
49,Quotedax,Food & Beverage,A chocolate manufacturing company that was founded by Peace Corp volunteers to create new economies in Africa. Its products are available at retailers nationwide and online.,2010,8,NY,Brooklyn,New York City,12127605.42,8788168.37,3339437.05
50,Cityla,Human Resources,"An online, membership-based community of more than 375,000 people looking for their next career opportunities in hedge funds, investment banking and technology.",2013,38,NY,New York,New York City,7545219.23,6321241.63,1223977.6
51,Quotecity,Consumer Products & Services,"Builds trailers for all purposes, from smaller cargo carriers to large custom-built truck trailers. LOOK partners with dealers and to provide products that offer value, special features, and customer service.",2010,360,IN,Middlebury,"Elkhart-Goshen, IN",12691208.66,4608610.44,8082598.22
52,Vaia-Dax,Logistics & Transportation,"Offers commercial trucking fleet safety, security, and productivity technology products.",2008,5,CA,Newport Beach,Los Angeles,14756708.71,6116400.45,8640308.26
53,Zimkeyfind,Consumer Products & Services,Offers a variety of e-liquids and innovative products used in e-cigarettes.,2012,52,WI,Hartland,"Milwaukee-Waukesha-West Allis, WI",9369442.69,10591056.54,-1221613.84
54,Quozap,Software,"Creates mobile real estate applications that enable clients to search for homes by GPS location or by city, state, or ZIP code.",2004,21,NJ,Collingswood,Philadelphia,11802944.92,9721500.45,2081444.47
55,Medunoway,Business Products & Services,"A commercial barter company that operates an online network for businesses featuring more than 36,000 services and items that members can trade using online credits.",2009,17,AZ,Phoenix,Phoenix,12308780.88,1735825.61,10572955.27
56,Tampware,Construction,"A full-service architecture firm that specializes in tenant finish and ground-up projects for the office, retail, health care, industrial, and energy industries.",2011,13,TX,Houston,Houston,11972225.99,3743142.68,8229083.3
57,Tindex,Computer Hardware,Provides clients with a streamlined purchasing process for IT hardware. Avanti offers a product line of more than 4 million parts.,2011,11,MN,Spring Park,Minneapolis,15050654.26,5915214.93,9135439.33
58,Dalthow,Health,"Provides software focused on the areas of medical coding, compliance, and education with the goal of increasing revenue for its health-care-providing customers by making sure all services are reimbursed and any audits are understood and implemented properly.",2000,20,GA,Dacula,Atlanta,13240318.82,6810915.72,6429403.11
59,Scotphase,Insurance,A home warranty is a service contract that covers the repair or replacement of many of the most frequently occurring breakdowns of home system components and appliances.,2009,87,NJ,Edison,New York City,11097389.55,9735788.08,1361601.47
60,Ranktech,Government Services,Provides global manpower support for a broad spectrum of technical and tactical service requirements for the Department of Defense and other US government agencies.,2010,607,FL,Tampa,Tampa,12880000.95,8000689.63,4879311.32
61,Gogotax,Telecommunications,"Develops safe driving systems to improve driver behavior with real-time mentoring and alerts. Its software is marketed to business fleets, racing organizations and parents with teen drivers.",2010,218,UT,Salt Lake City,Salt Lake City,6605381.02,7867840.56,-1262459.55
62,Unadex,Software,Develops SaaS online training for health care and human services providers including senior care and corrections workers and intellectual and developmental disabilities organizations.,2013,280,NC,Cary,"Raleigh-Cary, NC",7391008.94,2861759.1,4529249.83
63,Haycorporation,Human Resources,"A staffing and technology firm that offers talent placement, payroll outsourcing, vendor management, managed services for system integration projects and project management.",2011,123,CA,Irvine,Los Angeles,15586838.83,1256569.43,14330269.4
64,Groovecane,Construction,"A homebuilder that constructs traditional homes, cottages, townhomes, and condos.",2011,17,UT,South Jordan,Salt Lake City,8447368.97,4701472.46,3745896.52
65,Funrantex,Business Products & Services,"A B2B appointment setting, lead generation, and sales outsourcer for midmarket and enterprise-level organizations.",2012,42,FL,Coral Springs,Miami,14893078.04,1217344.82,13675733.22
66,Tambase,Software,Provides enterprise application licensing and a range of IT consulting services to mid-sized businesses.,2010,29,AZ,Scottsdale,Phoenix,12431297.14,2930761.96,9500535.18
67,Georedfase,IT Services,Provides IT consulting and system integration services to organizations with challenging technology initiatives.,2008,19,VA,Vienna,"Washington, DC",9830912.56,937922.53,8892990.04
68,Konktraxbam,Software,"Provides a suite of customer loyalty, sales, and marketing software products for business of all kinds and sizes. Its core offerings are Rider Rewards and the Let's Buy Local mobile app.",2011,3,WI,Franklin,"Milwaukee-Waukesha-West Allis, WI",15434570.88,5753912.43,9680658.45
69,Stanquote,IT Services,"Offers technology consulting, IT staffing, Web design, custom apps, and data services for clients ranging from small local businesses to major corporations.",2011,133,IL,Des Plaines,Chicago,12742291.02,451414.52,12290876.5
70,Lexiholding,Health,"Specializes in the placement of physical, occupational, and speech therapists to schools, hospitals, clinics, skilled nursing facilities, home health clients, and teletherapy services.",2011,10,CA,Newport Beach,Los Angeles,7923110.66,5689434.53,2233676.13
71,Incon,Food & Beverage,"Operates a healthy-eating restaurant chain that specializes in custom-made salads, healthy and hearty soups, and a wide range of sandwiches. The Big Salad connects with customers in a light and encouraging way through its human and often funny social media initiatives.",2010,75,MI,Grosse Pointe Farms,Detroit,15718049.43,1480283.03,14237766.39
72,Inconduo,Engineering,Designs plans for educational institutions to reach their campus sustainability and energy management goals.,2012,27,MA,Watertown,Boston,11669161.72,1016748.18,10652413.54
73,Mediahex,IT Services,"An enterprise consulting services provider specializing in services that automate IT management and workflow across the desktop, datacenter, and cloud.",2005,29,TX,Houston,Houston,11936515.05,4436936.62,7499578.43
74,Triojob,Financial Services,"Provides technology, service and and a competitive (wholesale) price to merchants accepting MasterCard, Visa, Discover, and American Express as forms of payment.",2011,33,TX,Dallas,Dallas,9859872.91,1006475.45,8853397.47
75,Quadice,Insurance,"Provides affordable and comprehensive home warranty plans for homeowners in Arizona, Idaho, Nevada, Oregon, Texas, Utah and soon nationwide.",2007,80,UT,Riverton,Salt Lake City,6537553.51,2062498.81,4475054.7
76,Sanfan,Consumer Products & Services,"Buys unused gift cards from consumers for up to 90% of the cards' value, then resells them online for less than face value.",2010,11,MD,Ellicott City,Baltimore,14486558.01,4867323.45,9619234.56
77,D-Is,Logistics & Transportation,"Provides valued truckload and LTL brokered freight services with a focus on transparency, technology and customer service.",2010,29,TX,Austin,Austin,10770632.59,3654642.71,7115989.88
78,Latfan,Real Estate,Offers full-service real estate brokerage and property management services.,2011,9,VA,Charlottesville,"Charlottesville, VA",10308758.55,2336617.69,7972140.86
79,Ining,Business Products & Services,A consulting firm focused exclusively on improving business-to-business sales and marketing effectiveness.,2012,18,GA,Atlanta,Atlanta,13415271.33,2440972.87,10974298.46
80,D-Zoocare,Financial Services,A global private equity and venture capital data provider that offers a technology platform on a subscription basis to help private market participants make informed business decisions.,2010,98,WA,Seattle,Seattle,8454175.15,5188054.63,3266120.52
81,O-Dax,Engineering,"Designs and manufactures state-of-the-art farm management tools and Web services that enable farmers to better manage their activities and resources. Its system integrates data from many sources in order to forecast best seed selections, yield and time and locations to sell grains at optimal value.",2004,50,MO,Archie,"Kansas City, MO-KS",16535459.25,4614038.84,11921420.41
82,Solocone,Education,"Sells subscriptions of EasyBib to schools and colleges, along with an online learning platform that teaches and assesses research skills called ResearchReady.",2012,33,NY,New York,New York City,16185270.58,5970143.18,10215127.4
83,Zun-Trax,Retail,"Sells retail and wholesale golf carts to consumers and dealers throughout the United States. The golf cart"" market has expanded to include racetracks",2013,23,SC,Columbia,"Columbia, SC",10741286.1,6570887.31,4170398.79
84,Biotain,Construction,"Builds and remodels maintenance facilities, campus centers, schools, showrooms, and other commercial and public projects.",2012,62,IA,Davenport,"Davenport-Moline-Rock Island, IA-IL",13619784.13,5643151.52,7976632.61
85,Icezap,Engineering,"Offers project management and engineering support services in the design, development and manufacture of technological products. IEDS specializes in serving the aerospace, telecom and military industrial communities.",2012,43,AZ,Scottsdale,Phoenix,11938574.42,4194888.62,7743685.79
86,Newjofix,Financial Services,Connects buyers and sellers in 196 countries worldwide by enabling merchants to quickly and securely accept payments online.,2010,90,CA,West Hollywood,Los Angeles,12283722.31,4080059.34,8203662.97
87,Opetechno,Real Estate,Sells commercial and residential real properties in Florida.,2012,7,FL,Tampa,Tampa,11791399.37,7400580.67,4390818.71
88,Zathline,Telecommunications,"Specializes in the design of circuits, high-speed digitizers, and systems for telecommunications applications.",2010,22,TX,Austin,Austin,12583754.8,5854665.27,6729089.52
89,Ozer-Dox,Health,Operates a network of self-service health kiosks in retail pharmacies where consumers can test their vision and blood pressure as well as receive weight management and health risk assessment services.,2013,35,GA,Duluth,Atlanta,12043250.04,6550712.3,5492537.73
90,Iscom,Health,"Uses healthcare data, predictive analytics and experts to improve wellness and quality, decrease costs and missed opportunities and drive ROI and sustainability.",2013,595,CT,West Hartford,"Hartford-West Hartford-East Hartford, CT",10105272.17,6271064.74,3834207.43
91,Freshtechno,Security,"Sells a theft-recovery device, SkyLINK, that uses GPS technology to track stolen vehicles in real-time for quicker recovery.",2011,40,AZ,Phoenix,Phoenix,13111180.91,7219820.25,5891360.66
92,Istone,Software,"Provides mobile app strategy, design and development for businesses and organizations. Specializes in app design for major mobile platforms such as Android, iOs and Windows Mobile.",2011,50,VA,Reston,"Washington, DC",6615067.12,571137.66,6043929.45
93,Domtam,Food & Beverage,"Manufactures healthful, natural dog treats and food supplements.",2012,0,TX,Dallas,Dallas,12919627.31,964197.99,11955429.32
94,Ganzgreen,Health,A national provider of management consulting and information technology services to the healthcare industry.,2010,224,TN,Franklin,Nashville,8412334.51,5814379.13,2597955.39
95,Zamhouse,Construction,"Offers versatile directional drilling, electrical, or fiber optic project construction services. The first directional drilling contractor in Maine, its extensive growth comes from repeat business from happy customers.",2009,39,ME,Lisbon Falls,"Lewiston-Auburn, ME",9565623.69,8136619.32,1429004.38
96,Openjocon,Construction,"A carpentry firm that specializes in finish carpentry, architectural millwork, retail furniture, and fixtures for hospitality, retail, and high-end residential and commercial markets.",2013,75,IL,Midlothian,Chicago,14546468.73,5336991.77,9209476.96
97,Trisity,Health,"Provides a comprehensive line of rapid immunodiagnostic test products for clinical, consumer, and workplace applications.",2012,26,CA,San Diego,San Diego,10049282.06,8597619.87,1451662.19
98,Planetice,Health,"Provides caring, health-oriented dentistry and places a strong emphasis on getting to know each patient, comfortable dentistry, and using only the most advanced materials and procedures available.",2012,42,MD,Silver Spring,"Washington, DC",15777227.41,7408390.51,8368836.9
99,Canunoice,Logistics & Transportation,"A supply chain systems implementation and consulting firm focused on helping companies solve their distribution, fulfillment, and transportation challenges.",2012,20,NJ,Paramus,New York City,8965369.07,6174834.86,2790534.21
100,Villadox,Construction,"Provides construction services in southern California including reconstruction services, heating & air installation service and janitorial & facilities services.",2012,20,CA,Carlsbad,San Diego,10176166.05,1259288.57,8916877.48
101,Alphacane,Retail,"A factory-direct reseller offering outdoor equipment such as storage sheds, barns and carports.",2013,3,MO,O'Fallon,"St. Louis, MO-IL",7075876.31,7198809.3,-122932.98
102,Rankcone,Government Services,"Supports the U.S. Special Operations Command, the departments of Homeland Security and State, and other government organizations with security, training, safety, logistics and consulting services.",2011,36,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",7292731.12,10657951.04,-3365219.91
103,Iceice,Government Services,"Provides professional services such as business management consulting, IT lifecycle support and systems engineering services for the federal government.",2010,21,WV,Star City,"Morgantown, WV",8069146.5,559236.8,7509909.7
104,Hex-Ity,Consumer Products & Services,"Sells aftermarket automotive parts and accessories online, specializing in Camaro and other late-model performance vehicles.",2011,5,TX,Houston,Houston,13785354.5,7490442.4,6294912.1
105,Fixquadtech,Health,Provides medical alert services to senior citizens nationwide.,2012,85,PA,Philadelphia,Philadelphia,10726242.85,7254112.02,3472130.84
106,Zonhigh,IT Services,"Consults clients about business intelligence, enterprise resource planning, Internet technology and infrastructure development.",2010,96,IL,Chicago,Chicago,9568633.15,5676480.23,3892152.91
107,Mathcorporation,Energy,A commercial electrical contractor that specializes in renewable energy and commercial and industrial electric design and installation.,2010,110,CA,Brentwood,San Francisco,3289552.51,7099925.65,-3810373.14
108,Toughway,Financial Services,"Provides checking, savings & money markets, business loans, SBA loan programs, portfolio residential mortgages, and association and treasury services.",2010,219,FL,St. Petersburg,Tampa,14389206.21,6525644.14,7863562.06
109,Bluetexon,IT Services,"Offers project and portfolio management, IT governance and compliance and software quality management.",2010,117,TX,Plano,Dallas,9615995.85,10144058.53,-528062.69
110,Nimvivafind,Financial Services,"Offers a credit repair program designed to help consumers get negative, inaccurate, outdated, and erroneous items removed from their credit reports.",2009,34,NJ,Newark,New York City,12376202.77,5809818.53,6566384.24
111,Eremenko,Financial Services,"A no-fee, direct mortgage lender offering low rates on home loans such as FHA, VA and USDA loans. Its clients save an average of $3,000 at closing.",2012,60,FL,Maitland,"Orlando, FL",11203635.61,6171059.93,5032575.68
112,Keycone,Business Products & Services,Develops online systems that give health insurance providers flexibility and control over document management and delivery of communications.,2000,62,CT,Madison,"New Haven-Milford, CT",10591360.47,5018322.72,5573037.75
113,Hot-Electrics,IT Services,"Offers services in the areas of emerging technologies, information technology, and intelligence and cyber security to government agencies, law enforcement, and clients in health care and education.",2006,46,GA,Augusta,"Augusta-Richmond, GA-SC",14233909.07,1643703.21,12590205.86
114,Namdom,Software,"Provides Web experience management, application development and cloud enablement services to businesses across the globe.",2013,105,IL,Chicago,Chicago,13009739.08,4063061.56,8946677.52
115,Betais,Telecommunications,Designs and delivers a small footprint NFC multi-chip module with an embedded security chip that can interface with all smartphone platforms.,2010,30,TX,Richardson,Dallas,9133821.04,5112524.35,4021296.69
116,Tempbam,Software,Provides analytics software to track all of a website's SEO and inbound marketing efforts on one platform.,2013,134,WA,Seattle,Seattle,12898296.9,7559232.96,5339063.93
117,Goodhouse,IT Services,"Provides IT staffing and managed services such as application development, middleware, mobile app development, business intelligence, and enterprise resource protocol services to retail, financial, insurance, and health care clients.",2009,63,VA,Herndon,"Washington, DC",12239058.1,7294024.93,4945033.17
118,Trisbam,Media,Publishes specialty magazines and newsletters serving exclusive communities across the country. It works with homeowner's associations and small municipalities.,2003,400,NC,Wilmington,"Wilmington, NC",9834951.27,1761338.42,8073612.85
119,Technoline,Advertising & Marketing,Provides marketing strategy and related IT services to Fortune 1000 and large middle-market clients through partnership with Salesforce.,2009,98,MN,St. Louis Park,Minneapolis,11253134.39,6578524.57,4674609.82
120,Biokaycane,Advertising & Marketing,Provides online marketing services including web design and development as well as digital marketing strategic consulting.,2010,22,SD,Sioux Falls,"Sioux Falls, SD",11860363.57,7162270.41,4698093.16
121,Truelane,Energy,"Provides governmental, institutional, industrial and commercial clients with ways to increase energy efficiency in existing structures.",2013,11,RI,Smithfield,"Providence-New Bedford-Fall River, RI-MA",7594545.49,4992452.6,2602092.88
122,Zimdex,Human Resources,A human capital management corporation that offers customized recruitment services to businesses.,2011,314,OH,Columbus,"Columbus, OH",5278073.44,2374443.87,2903629.57
123,Remedia,Advertising & Marketing,"An ad technology and media company that facilitates the creation, demand and supply of digital advertising for more than 1,500 Web and mobile publishers and reaches more than 150 million unique visitors per month.",2008,50,TX,Austin,Austin,11386538.4,8897941.97,2488596.43
124,Sumzoomit,Construction,"A semi-custom production home builder that finished construction of 180 homes in 2013 and started 215. It focuses on energy efficiency, healthier indoor air quality, and sustainable building practices.",2010,32,MO,Lee's Summit,"Kansas City, MO-KS",10623971.23,9561604.11,1062367.12
125,Goodtex,Government Services,"An IT services provider to federal government agencies, including the Departments of Homeland Security, Defense and the Navy.",2011,150,VA,Tysons Corner,"Washington, DC",16619702.18,12340210.35,4279491.83
126,Ranquote,Health,"A platform-technology company that provides devices, diagnostics, infection control and imaging for specialists treating a wide range of gastrointestinal diseases. It has over 2,500 customers and distribution in 34 distribution partners worldwide.",2013,400,GA,Alpharetta,Atlanta,8545488.35,9248181.1,-702692.75
127,Zathtone,Software,Provides software that makes it possible to easily deploy application delivery technology on-demand. Its Loadmaster family of products are used with many well-known business applications.,2009,121,NY,New York,New York City,13119001.67,5598586.14,7520415.53
128,Vivacode,Construction,"Specializes in general contracting, project oversight, construction management, and design/build for commercial, heavy civil, and municipal jobs.",2009,28,LA,Lake Charles,"Lake Charles, LA",11416744.53,4871586.63,6545157.9
129,Canesailfax,Business Products & Services,"Offers strategies, seminars, online programs and personalized business coaching to help women business owners increase their profits through marketing, mindset adjustment and strategic growth techniques.",2011,15,SC,Murrells Inlet,"Georgetown, SC",9569252.03,6478284.08,3090967.95
130,Dongcom,Retail,"Owns and operates an online store specializing in college dorm room supplies ranging from Twin XL bedding and comforters, to trunks, mini-futons, and shower caddies.",2002,8,NY,Cheektowaga,"Buffalo-Niagara Falls, NY",15553343.45,3402029.74,12151313.71
131,Hatlane,Education,"Offers seminars, coaching, classes, online training, home-study courses, blogs and newsletters that teach how to earn money in real estate investment and Internet marketing.",2011,25,CA,Walnut Creek,San Francisco,11632947.81,9156617.9,2476329.92
132,Hexhouse,Software,"Creates marketing software designed to replace intrusive marketing with relevant blog posts, website content and emails. Over 10,000 companies in 65 countries use HubSpot's software.",2006,668,MA,Cambridge,Boston,16351194.85,2436568.64,13914626.2
133,Jobzencane,Software,"Provides software designed to crunch large sets of data and reveal analytics, insights, and patterns to business owners and strategists.",2011,40,PA,WAYNE,Philadelphia,10830844.93,2913671.15,7917173.78
134,Sailtech,Software,Delivers software-driven cloud networking services for large data center and high-performance computing environments.,2012,850,CA,Santa Clara,San Jose,6983643.34,5635341.99,1348301.35
135,Vilacan,Retail,"Sells packaging and shipping supplies, such as tape, cardboard boxes and bubble mailers, as well as electronics accessories under its Fenzer line.",1999,28,UT,Orem,"Provo-Orem, UT",13209223.95,7294510.96,5914713
136,Stattechno,Health,A recognized leader in pharmacogenetic testing and personalized medication management system and software with more than 25 years of DNA testing experience.,2014,80,WA,Seattle,Seattle,7936119.23,8164356.76,-228237.54
